competition,confederation,rank,important,main,supplementary
FIFA World Cup,FIFA,1,R32,GS,
UEFA European Championship,UEFA,2,R16,GS,
CONMEBOL Copa América,CONMEBOL,3,QF,GS,
AFC Asian Cup,AFC,4,SF,GS,
CAF Africa Cup of Nations,CAF,5,SF,GS,
CONCACAF Gold Cup,CONCACAF,6,SF,GS,
OFC Men's Nations Cup,OFC,7,,SF,full
Finalissima,UEFA-CONMEBOL,8,F,,
UEFA Nations League,UEFA,9,SF,LAGS,full
CONCACAF Nations League,CONCACAF,10,F,QF,full
FIFA Arab Cup,FIFA,11,,SF,full
FIFA ASEAN Cup,FIFA,12,,F,full
FIFA World Cup Qualification - UEFA,UEFA,13,,Q,full
FIFA World Cup Qualification - CONMEBOL,CONMEBOL,14,,Q,full
FIFA World Cup Qualification - AFC,AFC,15,,Q,full
FIFA World Cup Qualification - CAF,CAF,16,,Q,full
FIFA World Cup Qualification - CONCACAF,CONCACAF,17,,Q,full
FIFA World Cup Qualification - OFC,OFC,18,,Q,full
FIFA World Cup Qualification - Play-offs,FIFA,19,,Q,full
UEFA European Championship Qualification,UEFA,20,,Q,full
AFC Asian Cup Qualification,AFC,21,,,full
CAF Africa Cup of Nations Qualification,CAF,22,,,full
OFC Men's Nations Cup Qualification,OFC,23,,,full
FIFA Arab Cup Qualification,FIFA,24,,,full
African Nations Championship,CAF,25,,F,full
EAFF E-1 Football Championship,EAFF,26,,C,full
ASEAN Championship,AFF,27,,F,full
SAFF Championship,SAFF,28,,F,full
CAFA Nations Cup,CAFA,29,,F,full
WAFF Championship,WAFF,30,,F,full
Arabian Gulf Cup,AGCFF,31,,F,full
COSAFA Cup,COSAFA,32,,F,full
International Friendly,FIFA,33,,,full
Olympic Games,IOC-FIFA,34,,QF,full
UEFA European U-21 Championship,UEFA,35,,SF,full
CONMEBOL Preolímpico,CONMEBOL,36,,C,full
FIFA U-20 World Cup,FIFA,37,,F,full
